W1_ideo5,text,created_at,status_id,annotation_html,annotation_instruction,annotation_response,annotation_flagged
1,RT @100_Disable_vet: I am the descendant of Great African Kings and Queens and I am the descendant of the original men and women on this pl…,2020-10-08T14:53:04Z,1314217250048503800,<div style='padding: 10px; margin: 10px;'><p>RT @100_Disable_vet: I am the descendant of Great African Kings and Queens and I am the descendant of the original men and women on this pl…</p><p style='font-size: 10px;'>2020-10-08 14:53:04</p></div>,Does this tweet support or oppose Black Lives Matter?,1,0
1,"RT @WildPalmsLtd: Some welcome news for a change. The racist NYPD cop who went coo-coo after a bachelor party calling the victims ""f---ing…",2020-01-03T08:38:05Z,1213016670731669500,"<div style='padding: 10px; margin: 10px;'><p>RT @WildPalmsLtd: Some welcome news for a change. The racist NYPD cop who went coo-coo after a bachelor party calling the victims ""f---ing…</p><p style='font-size: 10px;'>2020-01-03 08:38:05</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @100_Disable_vet: If my black brothers and sisters listened to more Malcolm X and MLK and less Nancy Pelosi and Joe Biden we'd stop gett…,2020-05-26T18:54:33Z,1265355662319587300,<div style='padding: 10px; margin: 10px;'><p>RT @100_Disable_vet: If my black brothers and sisters listened to more Malcolm X and MLK and less Nancy Pelosi and Joe Biden we'd stop gett…</p><p style='font-size: 10px;'>2020-05-26 18:54:33</p></div>,Does this tweet support or oppose Black Lives Matter?,1,0
1,RT @JoyAnnReid: Ring the Alarm: COVID-19 Presents Grave Danger to Communities of Color | Colorlines https://t.co/6dwJ8Mpoes,2020-04-03T13:53:23Z,1.2460733142521119e+18,<div style='padding: 10px; margin: 10px;'><p>RT @JoyAnnReid: Ring the Alarm: COVID-19 Presents Grave Danger to Communities of Color | Colorlines https://t.co/6dwJ8Mpoes</p><p style='font-size: 10px;'>2020-04-03 13:53:23</p></div>,Does this tweet support or oppose Black Lives Matter?,0,0
1,"RT @100_Disable_vet: Beware Black politicians that are praised and propped up by corporate media and the white power structure elites.

The…",2020-04-05T17:53:52Z,1246858607355932700,"<div style='padding: 10px; margin: 10px;'><p>RT @100_Disable_vet: Beware Black politicians that are praised and propped up by corporate media and the white power structure elites.

The…</p><p style='font-size: 10px;'>2020-04-05 17:53:52</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,1
1,"The “close divide” in USA only exists among white people. Every other racial demographic is clear in majority opposition to Trump but white ppl are 70% of US. Again, there’s this constant effort to frame the narrative in ways that avoid examination of white identity politics.",2020-11-05T03:43:00Z,1324195483045171200,"<div style='padding: 10px; margin: 10px;'><p>The “close divide” in USA only exists among white people. Every other racial demographic is clear in majority opposition to Trump but white ppl are 70% of US. Again, there’s this constant effort to frame the narrative in ways that avoid examination of white identity politics.</p><p style='font-size: 10px;'>2020-11-05 03:43:00</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"When white Americans show up with semiautomatic rifles at statehouses, Donald Trump encourages them to “liberate” their cities. When Black Americans protest the shooting deaths of unarmed citizens, he calls for them to be shot in their cities.",2020-05-29T23:22:41Z,1266510301685522400,"<div style='padding: 10px; margin: 10px;'><p>When white Americans show up with semiautomatic rifles at statehouses, Donald Trump encourages them to “liberate” their cities. When Black Americans protest the shooting deaths of unarmed citizens, he calls for them to be shot in their cities.</p><p style='font-size: 10px;'>2020-05-29 23:22:41</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @100_Disable_vet: Joe Biden will not get away with what he did to black people and waltz into the WH posing as our friend if I can help…,2020-05-26T19:50:30Z,1265369741209866200,<div style='padding: 10px; margin: 10px;'><p>RT @100_Disable_vet: Joe Biden will not get away with what he did to black people and waltz into the WH posing as our friend if I can help…</p><p style='font-size: 10px;'>2020-05-26 19:50:30</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @meaganmday: The argument is not that people aren’t racist when their needs are met. It’s that capitalism creates scarcity for some, ins…",2020-01-17T23:30:26Z,1218314666981634e3,"<div style='padding: 10px; margin: 10px;'><p>RT @meaganmday: The argument is not that people aren’t racist when their needs are met. It’s that capitalism creates scarcity for some, ins…</p><p style='font-size: 10px;'>2020-01-17 23:30:26</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"That Paper conflated mentorship with co-authorship, but I'd like to acknowledge less visible forms of mentoring, the folks students go to when formal mentorships break down.

This work is disproportionately done by white women &amp; people of colour and is rarely officially rewarded.",2020-11-19T21:45:06Z,1329541235061661700,"<div style='padding: 10px; margin: 10px;'><p>That Paper conflated mentorship with co-authorship, but I'd like to acknowledge less visible forms of mentoring, the folks students go to when formal mentorships break down.

This work is disproportionately done by white women &amp; people of colour and is rarely officially rewarded.</p><p style='font-size: 10px;'>2020-11-19 21:45:06</p></div>",Does this tweet support or oppose Black Lives Matter?,99,0
